Customer_ID,Count,Quarter,Satisfaction_Score,Customer_Status,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Category,Churn_Reason,inter_ID
0002-ORFBO,1,Q3,3,Stayed,No,0.0,65,2205.0,,,4007
0003-MKNFE,1,Q3,5,Stayed,No,0.0,66,5414.0,,,4789
0004-TLHLJ,1,Q3,1,Churned,Yes,1.0,71,4479.0,Competitor,Competitor had better devices,1902
0011-IGKFF,1,Q3,1,Churned,Yes,1.0,91,3714.0,Dissatisfaction,Product dissatisfaction,396
0013-EXCHZ,1,Q3,1,Churned,Yes,1.0,68,3464.0,Dissatisfaction,Network reliability,369
0013-MHZWF,1,Q3,3,Stayed,No,0.0,55,5108.0,,,3310
0013-SMEOE,1,Q3,3,Stayed,No,0.0,26,5011.0,,,708
0014-BMAQU,1,Q3,4,Stayed,No,0.0,49,4604.0,,,4226
0015-UOCOJ,1,Q3,3,Stayed,No,0.0,34,5525.0,,,696
0016-QLJIS,1,Q3,3,Stayed,No,0.0,25,5509.0,,,5576
0017-DINOC,1,Q3,4,Stayed,No,0.0,54,5435.0,,,3819
0017-IUDMW,1,Q3,3,Stayed,No,0.0,52,6252.0,,,5247
0018-NYROU,1,Q3,3,Stayed,No,0.0,57,5536.0,,,5615
0019-EFAEP,1,Q3,3,Stayed,No,0.0,53,5513.0,,,3791
0019-GFNTW,1,Q3,3,Stayed,No,0.0,37,5795.0,,,5132
0020-INWCK,1,Q3,5,Stayed,No,0.0,26,4865.0,,,4035
0020-JDNXP,1,Q3,4,Stayed,No,0.0,37,3607.0,,,6393
0021-IKXGC,1,Q3,4,Joined,No,0.0,50,4432.0,,,509
0022-TCJCI,1,Q3,1,Churned,Yes,1.0,92,2654.0,Dissatisfaction,Limited range of services,161
0023-HGHWL,1,Q3,3,Churned,Yes,1.0,85,5437.0,Competitor,Competitor made better offer,289
0023-UYUPN,1,Q3,3,Stayed,No,0.0,61,4015.0,,,716
0023-XUOPT,1,Q3,1,Churned,Yes,1.0,75,2973.0,Other,Don't know,2448
0027-KWYKW,1,Q3,4,Stayed,No,0.0,78,3585.0,,,6129
0030-FNXPP,1,Q3,4,Joined,No,0.0,59,5634.0,,,3024
0031-PVLZI,1,Q3,1,Churned,Yes,1.0,81,4133.0,Price,Long distance charges,1406
0032-PGELS,1,Q3,1,Churned,Yes,1.0,74,5171.0,Attitude,Attitude of service provider,2518
0036-IHMOT,1,Q3,3,Stayed,No,0.0,65,5892.0,,,3063
0040-HALCW,1,Q3,4,Stayed,No,0.0,60,6393.0,,,3314
0042-JVWOJ,1,Q3,4,Stayed,No,0.0,26,3722.0,,,6514
0042-RLHYP,1,Q3,5,Stayed,No,0.0,76,4131.0,,,3369
0048-LUMLS,1,Q3,5,Stayed,No,0.0,55,5263.0,,,3109
0048-PIHNL,1,Q3,3,Stayed,No,0.0,20,6061.0,,,6796
0052-DCKON,1,Q3,3,Stayed,No,0.0,42,5845.0,,,5758
0052-YNYOT,1,Q3,5,Stayed,No,0.0,72,5462.0,,,7018
0056-EPFBG,1,Q3,3,Stayed,No,0.0,29,3899.0,,,5661
0057-QBUQH,1,Q3,4,Stayed,No,0.0,59,4797.0,,,6411
0058-EVZWM,1,Q3,3,Stayed,No,0.0,42,5875.0,,,4334
0060-FUALY,1,Q3,3,Stayed,No,0.0,26,5238.0,,,5729
0064-SUDOG,1,Q3,5,Stayed,No,0.0,57,5190.0,,,6818
0064-YIJGF,1,Q3,3,Stayed,No,0.0,46,4994.0,,,4972
0067-DKWBL,1,Q3,2,Churned,Yes,1.0,95,3475.0,Competitor,Competitor made better offer,44
0068-FIGTF,1,Q3,3,Stayed,No,0.0,54,2297.0,,,6328
0071-NDAFP,1,Q3,3,Stayed,No,0.0,65,5230.0,,,6499
0074-HDKDG,1,Q3,3,Stayed,No,0.0,66,3807.0,,,3257
0076-LVEPS,1,Q3,4,Stayed,No,0.0,73,3290.0,,,6881
0078-XZMHT,1,Q3,3,Stayed,No,0.0,76,6322.0,,,2982
0080-EMYVY,1,Q3,3,Stayed,No,0.0,57,4298.0,,,6457
0080-OROZO,1,Q3,3,Stayed,No,0.0,36,3244.0,,,3295
0082-LDZUE,1,Q3,5,Joined,No,0.0,57,4427.0,,,6317
0082-OQIQY,1,Q3,5,Stayed,No,0.0,60,4561.0,,,5415
0083-PIVIK,1,Q3,3,Stayed,No,0.0,67,4761.0,,,6759
0089-IIQKO,1,Q3,3,Stayed,No,0.0,43,4447.0,,,5709
0093-EXYQL,1,Q3,3,Stayed,No,0.0,59,5742.0,,,694
0093-XWZFY,1,Q3,1,Churned,Yes,1.0,93,2832.0,Competitor,Competitor had better devices,2529
0094-OIFMO,1,Q3,1,Churned,Yes,1.0,85,5980.0,Dissatisfaction,Product dissatisfaction,11
0096-BXERS,1,Q3,3,Stayed,No,0.0,74,3442.0,,,5340
0096-FCPUF,1,Q3,3,Stayed,No,0.0,48,5039.0,,,3331
0098-BOWSO,1,Q3,5,Stayed,No,0.0,39,3792.0,,,3260
0100-DUVFC,1,Q3,5,Stayed,No,0.0,57,5291.0,,,794
0103-CSITQ,1,Q3,5,Stayed,No,0.0,65,6026.0,,,5450
0104-PPXDV,1,Q3,5,Stayed,No,0.0,30,5232.0,,,2768
0106-GHRQR,1,Q3,5,Stayed,No,0.0,39,3360.0,,,3649
0106-UGRDO,1,Q3,3,Stayed,No,0.0,37,4216.0,,,4418
0107-WESLM,1,Q3,2,Churned,Yes,1.0,66,3874.0,Attitude,Attitude of support person,1371
0107-YHINA,1,Q3,1,Churned,Yes,1.0,93,4214.0,Competitor,Competitor had better devices,1483
0111-KLBQG,1,Q3,5,Stayed,No,0.0,62,2844.0,,,519
0112-QAWRZ,1,Q3,3,Stayed,No,0.0,66,5560.0,,,5991
0112-QWPNC,1,Q3,2,Churned,Yes,1.0,73,6452.0,Competitor,Competitor offered higher download speeds,1950
0114-IGABW,1,Q3,5,Stayed,No,0.0,76,5224.0,,,2997
0114-PEGZZ,1,Q3,3,Stayed,No,0.0,33,4800.0,,,5696
0114-RSRRW,1,Q3,4,Stayed,No,0.0,54,3831.0,,,3380
0115-TFERT,1,Q3,3,Churned,Yes,1.0,89,4123.0,Attitude,Attitude of service provider,1299
0117-LFRMW,1,Q3,2,Churned,Yes,1.0,80,3627.0,Competitor,Competitor offered more data,2309
0118-JPNOY,1,Q3,3,Stayed,No,0.0,46,5700.0,,,1064
0121-SNYRK,1,Q3,3,Stayed,No,0.0,36,5052.0,,,3388
0122-OAHPZ,1,Q3,3,Churned,Yes,1.0,67,2473.0,Competitor,Competitor made better offer,1204
0123-CRBRT,1,Q3,4,Stayed,No,0.0,40,5152.0,,,2715
0125-LZQXK,1,Q3,2,Churned,Yes,1.0,91,3025.0,Attitude,Attitude of service provider,1373
0128-MKWSG,1,Q3,4,Stayed,No,0.0,45,3287.0,,,5869
0129-KPTWJ,1,Q3,3,Stayed,No,0.0,20,5943.0,,,5565
0129-QMPDR,1,Q3,3,Stayed,No,0.0,59,3093.0,,,3760
0130-SXOUN,1,Q3,3,Stayed,No,0.0,49,4889.0,,,6515
0133-BMFZO,1,Q3,2,Churned,Yes,1.0,94,3529.0,Competitor,Competitor offered higher download speeds,1849
0134-XWXCE,1,Q3,5,Stayed,No,0.0,71,3253.0,,,650
0135-NMXAP,1,Q3,3,Churned,Yes,1.0,90,5671.0,Attitude,Attitude of support person,1369
0136-IFMYD,1,Q3,5,Stayed,No,0.0,63,4297.0,,,781
0137-OCGAB,1,Q3,3,Churned,Yes,1.0,90,3056.0,Price,Lack of affordable download/upload speed,1655
0137-UDEUO,1,Q3,1,Churned,Yes,1.0,95,3398.0,Price,Long distance charges,2012
0139-IVFJG,1,Q3,3,Joined,No,0.0,29,5361.0,,,3022
0141-YEAYS,1,Q3,4,Stayed,No,0.0,77,5990.0,,,713
0142-GVYSN,1,Q3,5,Stayed,No,0.0,68,5712.0,,,4093
0147-ESWWR,1,Q3,4,Stayed,No,0.0,77,3172.0,,,1009
0148-DCDOS,1,Q3,1,Churned,Yes,1.0,82,5641.0,Competitor,Competitor had better devices,1708
0151-ONTOV,1,Q3,1,Churned,Yes,1.0,78,4739.0,Competitor,Competitor had better devices,1598
0156-FVPTA,1,Q3,2,Churned,Yes,1.0,87,5102.0,Attitude,Attitude of service provider,2271
0164-APGRB,1,Q3,4,Stayed,No,0.0,69,4589.0,,,4211
0164-XAIRP,1,Q3,5,Stayed,No,0.0,34,2511.0,,,6850
0168-XZKBB,1,Q3,5,Stayed,No,0.0,64,5072.0,,,6192
0174-QRVVY,1,Q3,5,Stayed,No,0.0,68,5747.0,,,4886
0177-PXBAT,1,Q3,3,Stayed,No,0.0,59,5655.0,,,517
0178-CIIKR,1,Q3,3,Joined,No,0.0,74,5949.0,,,6472
0178-SZBHO,1,Q3,3,Stayed,No,0.0,76,3760.0,,,3324
0181-RITDD,1,Q3,4,Stayed,No,0.0,43,5298.0,,,3827
0186-CAERR,1,Q3,4,Stayed,No,0.0,59,4644.0,,,6570
0187-QSXOE,1,Q3,4,Stayed,No,0.0,36,5711.0,,,861
0187-WZNAB,1,Q3,3,Stayed,No,0.0,57,4331.0,,,4103
0188-GWFLE,1,Q3,3,Joined,No,0.0,59,4978.0,,,4171
0191-EQUUH,1,Q3,4,Stayed,No,0.0,69,2754.0,,,4939
0191-ZHSKZ,1,Q3,4,Stayed,No,0.0,55,3033.0,,,486
0193-ESZXP,1,Q3,1,Churned,Yes,1.0,91,5067.0,Attitude,Attitude of support person,377
0195-IESCP,1,Q3,3,Churned,Yes,1.0,75,3573.0,Competitor,Competitor offered more data,1260
0196-JTUQI,1,Q3,5,Stayed,No,0.0,68,5841.0,,,3403
