Customer_ID,Count,Quarter,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,trans_ID
9281-PKKZE,1,Q3,True,1,46,None,False,0.0,False,True,DSL,8.0,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,43.95,2007.85,0.0,0.0,0.0,2007.85,1
3638-VBZTA,1,Q3,False,0,68,None,True,11.5,True,True,DSL,29.0,True,True,False,True,True,True,True,True,Two Year,True,Bank Withdrawal,86.5,5882.75,0.0,0.0,782.0,6664.75,2
7459-IMVYU,1,Q3,False,0,38,None,True,28.0,True,True,DSL,22.0,True,True,True,True,False,False,False,False,Month-to-Month,False,Bank Withdrawal,69.95,2657.55,0.0,90.0,1064.0,3811.55,3
8563-OYMQY,1,Q3,False,0,17,Offer D,True,34.98,False,True,Fiber Optic,21.0,False,True,True,False,False,True,True,True,Month-to-Month,True,Credit Card,90.95,1612.2,0.0,0.0,594.66,2206.86,4
0754-EEBDC,1,Q3,True,1,4,Offer E,True,24.57,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Mailed Check,19.9,76.65,0.0,0.0,98.28,174.93,5
5777-ZPQNC,1,Q3,False,0,12,Offer D,True,26.67,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,False,Bank Withdrawal,20.15,260.7,0.0,0.0,320.04,580.74,6
1951-IEYXM,1,Q3,True,1,72,None,True,34.97,True,True,Cable,11.0,True,True,True,True,True,True,True,True,Two Year,True,Credit Card,90.6,6441.85,0.0,0.0,2517.84,8959.69,7
3318-NMQXL,1,Q3,False,0,3,Offer E,True,15.6,False,True,Fiber Optic,9.0,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,92.0,266.8,0.0,0.0,46.8,313.6,8
1022-RKXDR,1,Q3,False,0,41,None,True,32.66,True,False,None,0.0,False,False,False,False,False,False,False,False,One Year,True,Mailed Check,24.85,962.25,0.0,0.0,1339.06,2301.31,9
2361-FJWNO,1,Q3,False,0,40,None,False,0.0,False,True,Cable,12.0,False,True,False,True,False,False,False,False,One Year,False,Credit Card,36.0,1382.9,0.0,130.0,0.0,1512.9,10
2272-UOINI,1,Q3,False,0,7,Offer E,True,3.34,False,True,Cable,13.0,True,True,False,True,True,True,True,True,Month-to-Month,True,Bank Withdrawal,78.5,571.05,0.0,0.0,23.38,594.43,11
8232-UTFOZ,1,Q3,False,0,69,None,True,7.18,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,19.95,1399.35,0.0,0.0,495.42,1894.77,12
3750-YHRYO,1,Q3,True,1,7,None,True,21.09,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,False,Mailed Check,20.65,150.0,0.0,0.0,147.63,297.63,13
6637-KYRCV,1,Q3,True,1,5,None,False,0.0,False,True,DSL,59.0,False,True,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,30.5,167.2,0.0,0.0,0.0,167.2,14
5668-MEISB,1,Q3,True,1,72,None,True,6.41,True,True,Fiber Optic,14.0,True,True,True,True,True,False,False,True,Two Year,False,Credit Card,106.1,7657.4,0.0,0.0,461.52,8118.92,15
0129-QMPDR,1,Q3,True,1,44,None,True,27.4,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,True,Bank Withdrawal,20.5,865.05,0.0,0.0,1205.6,2070.65,16
7188-CBBBA,1,Q3,False,0,65,None,True,27.68,True,True,Fiber Optic,6.0,False,True,True,False,True,False,False,False,One Year,True,Bank Withdrawal,95.5,6153.85,0.0,80.0,1799.2,8033.05,17
5356-CSVSQ,1,Q3,False,0,3,None,True,40.99,True,True,Cable,48.0,False,False,False,True,True,False,False,True,Month-to-Month,False,Bank Withdrawal,64.6,174.2,0.0,0.0,122.97,297.17,18
3221-CJMSG,1,Q3,False,0,24,None,True,2.33,False,True,DSL,2.0,False,False,False,True,False,False,False,True,Month-to-Month,True,Credit Card,51.1,1269.6,0.0,0.0,55.92,1325.52,19
2801-NISEI,1,Q3,False,0,24,None,True,30.07,False,True,DSL,69.0,True,False,False,True,False,False,False,True,Month-to-Month,False,Bank Withdrawal,54.95,1348.5,0.0,0.0,721.68,2070.18,20
4623-ZKHLY,1,Q3,True,1,22,Offer D,True,20.78,False,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,20.45,471.55,0.0,0.0,457.16,928.71,21
6732-VAILE,1,Q3,True,10,70,None,True,30.06,True,True,Cable,24.0,False,True,True,True,True,True,True,True,Two Year,True,Credit Card,85.95,5931.75,0.0,0.0,2104.2,8035.95,22
8201-AAXCB,1,Q3,True,1,25,None,True,25.87,True,True,Cable,76.0,False,False,False,False,True,False,False,False,Month-to-Month,False,Bank Withdrawal,60.35,1404.65,0.0,10.0,646.75,2061.4,23
7696-CFTAT,1,Q3,False,0,37,None,True,8.21,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Bank Withdrawal,19.8,726.1,0.0,0.0,303.77,1029.87,24
2123-VSCOT,1,Q3,True,9,59,None,True,24.81,True,True,Cable,24.0,False,False,True,True,True,False,False,True,Two Year,True,Bank Withdrawal,72.1,4194.85,0.0,0.0,1463.79,5658.64,25
2018-QKYGT,1,Q3,True,1,1,None,True,36.32,False,True,Fiber Optic,85.0,False,False,False,False,False,True,True,True,Month-to-Month,True,Bank Withdrawal,81.05,81.05,0.0,0.0,36.32,117.37,26
2792-VPPET,1,Q3,False,0,3,None,True,37.01,False,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,20.5,76.95,0.0,0.0,111.03,187.98,27
7409-JURKQ,1,Q3,True,3,53,None,True,41.82,True,True,Fiber Optic,69.0,False,True,True,True,True,True,True,True,One Year,True,Bank Withdrawal,111.8,5809.75,0.0,0.0,2216.46,8026.21,28
3247-MHJKM,1,Q3,False,0,1,None,True,42.15,False,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,False,Mailed Check,20.2,20.2,0.0,0.0,42.15,62.35,29
1964-SVLEA,1,Q3,False,0,20,Offer D,True,30.13,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,True,Mailed Check,19.7,415.9,0.0,0.0,602.6,1018.5,30
7297-DVYGA,1,Q3,False,0,51,Offer B,True,29.87,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,True,Bank Withdrawal,19.85,996.95,0.0,0.0,1523.37,2520.32,31
2239-CGBUZ,1,Q3,True,4,51,Offer B,True,47.18,False,True,Cable,12.0,True,True,False,True,False,False,False,True,One Year,True,Bank Withdrawal,60.5,3145.15,0.0,0.0,2406.18,5551.33,32
0854-UYHZD,1,Q3,True,1,13,None,True,42.23,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Mailed Check,19.55,265.3,0.0,0.0,548.99,814.29,33
7243-LCGGZ,1,Q3,False,0,1,None,True,10.21,False,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,False,Mailed Check,20.9,20.9,0.0,0.0,10.21,31.11,34
8267-KFGYD,1,Q3,False,0,1,None,True,10.14,False,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,True,Mailed Check,21.05,21.05,0.0,0.0,10.14,31.19,35
4890-VMUAV,1,Q3,False,0,63,Offer B,True,18.05,True,True,DSL,11.0,True,True,True,True,False,False,False,False,One Year,False,Bank Withdrawal,71.5,4576.3,0.0,70.0,1137.15,5783.45,36
9261-WDCAF,1,Q3,False,0,3,None,True,33.53,False,True,DSL,30.0,False,False,False,False,False,True,True,True,Month-to-Month,False,Mailed Check,54.65,189.1,0.0,0.0,100.59,289.69,37
3764-MNMOI,1,Q3,False,0,46,Offer B,True,30.99,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,19.2,908.15,0.0,0.0,1425.54,2333.69,38
7442-YGZFK,1,Q3,False,0,1,None,True,3.97,True,True,DSL,11.0,False,False,False,False,False,False,False,True,Month-to-Month,True,Credit Card,49.8,49.8,0.0,0.0,3.97,53.77,39
8229-BUJHX,1,Q3,True,8,71,None,True,11.13,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Bank Withdrawal,20.5,1500.95,0.0,0.0,790.23,2291.18,40
7449-HVPIV,1,Q3,True,10,55,Offer B,True,22.56,True,True,Fiber Optic,56.0,False,False,True,False,True,False,False,True,Month-to-Month,True,Credit Card,90.4,5099.15,0.0,0.0,1240.8,6339.95,41
5504-WSIUR,1,Q3,False,0,70,None,True,13.4,True,True,Fiber Optic,3.0,False,True,True,True,False,False,False,False,One Year,True,Bank Withdrawal,90.25,6385.95,0.0,100.0,938.0,7423.95,42
8466-PZBLH,1,Q3,True,10,67,None,True,11.31,True,True,Fiber Optic,57.0,True,False,False,True,True,True,True,True,Two Year,False,Bank Withdrawal,104.6,6885.75,0.0,0.0,757.77,7643.52,43
8735-IJJEG,1,Q3,True,6,14,None,True,4.05,False,True,DSL,59.0,False,False,True,False,False,False,False,True,Month-to-Month,False,Credit Card,50.2,668.85,0.0,0.0,56.7,725.55,44
0564-MUUQK,1,Q3,True,5,20,None,True,38.71,True,True,Fiber Optic,48.0,False,False,True,True,False,True,True,True,Month-to-Month,True,Bank Withdrawal,95.5,1916.2,0.0,0.0,774.2,2690.4,45
0701-RFGFI,1,Q3,True,6,49,Offer B,True,8.18,True,True,Fiber Optic,53.0,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,95.4,4613.95,0.0,0.0,400.82,5014.77,46
0019-EFAEP,1,Q3,False,0,72,Offer A,True,2.25,True,True,Fiber Optic,16.0,True,True,True,False,True,False,False,True,Two Year,True,Bank Withdrawal,101.3,7261.25,0.0,0.0,162.0,7423.25,47
5619-PTMIK,1,Q3,True,1,46,Offer B,True,44.74,True,True,DSL,82.0,True,False,False,False,False,False,True,True,Month-to-Month,False,Bank Withdrawal,53.1,2459.8,0.0,0.0,2058.04,4517.84,48
3737-XBQDD,1,Q3,False,0,24,Offer C,True,13.13,True,True,Fiber Optic,14.0,False,True,True,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,84.85,2048.8,0.0,80.0,315.12,2443.92,49
